LineageTaxIDs,Lineage,Organism,Phylum,Class,Order,Family,Genus,Predictors,Replicon,nuoA,nuoB,nuoC,nuoD,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,TotalSubunits
398743,Zunongwangia profunda,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5
371601,Bacteroides xylanisolvens,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
371601,Bacteroides xylanisolvens,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
556287,Candidatus Liberibacter solanacearum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Liberibacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
496866,Thermoanaerobacter pseudethanolicus,Bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,0,1,1,1,1,8
80869,Paracidovorax citrulli,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
80869,Paracidovorax citrulli,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
84159,Magnetospirillum magneticum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
251701,Pseudomonas syringae group genomosp. 3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
251701,Pseudomonas syringae group genomosp. 3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
251701,Pseudomonas syringae group genomosp. 3,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
53409,Pseudomonas coronafaciens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
53409,Pseudomonas coronafaciens,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29438,Pseudomonas savastanoi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
29438,Pseudomonas savastanoi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
29438,Pseudomonas savastanoi,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1697,Corynebacterium ammoniagenes,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,0,1,0,1,1,1,1,1,1,8
28135,Prevotella oris,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,0,0,1,1,1,1,1,1,1,12
28137,Prevotella veroralis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,0,1,1,1,1,1,1,1,13
471,Acinetobacter calcoaceticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
40215,Acinetobacter junii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
28090,Acinetobacter lwoffii,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
245014,butyrate-producing bacterium SS3/4,Bacteria,Bacillota,Clostridia,Eubacteriales,,,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,0,0,1,7
1709477,Pseudoalteromonas sp. R3,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,0,0,1,1,1,1,1,1,7
359408,Methylotenera mobilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
258224,Corynebacterium resistens,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,1,0,0,1,1,0,1,1,1,1,1,1,9
253239,Ethanoligenens harbinense,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
253239,Ethanoligenens harbinense,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
676,Vibrio fluvialis,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,0,1,1,8
66269,Pantoea stewartii,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
66269,Pantoea stewartii,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
1522,[Clostridium] innocuum,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,0,1,1,8
1522,[Clostridium] innocuum,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
154,Spirochaeta thermophila,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,1,0,1,1,1,0,1,1,1,1,1,1,10
154,Spirochaeta thermophila,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,0,1,8
242703,Acidilobus saccharovorans,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1055487,Methylotenera versatilis,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1479,Bacillus smithii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4
376805,Phocaeicola salanitronis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
171695,Thermodesulfatator indicus,Bacteria,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12
754,Pasteurella dagmatis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,1,1,1,0,1,1,1,1,0,1,1,1,1,11
77022,Cylindrospermopsis raciborskii,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
552810,Dehalogenimonas lykanthroporepellens,Bacteria,Chloroflexota,Dehalococcoidia,,,Dehalogenimonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
187137,Oceanithermus profundus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Oceanithermus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
187137,Oceanithermus profundus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Oceanithermus,OurGenes+HMMER,plasmid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28448,Komagataeibacter xylinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
28448,Komagataeibacter xylinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Komagataeibacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
473531,Nitrosococcus watsonii,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Nitrosococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
717609,Caldicellulosiruptor obsidiansis,Bacteria,Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11
663,Vibrio alginolyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
663,Vibrio alginolyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
1254,Pediococcus acidilactici,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4
1254,Pediococcus acidilactici,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
190893,Vibrio coralliilyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,1,0,1,0,0,0,1,1,5
190893,Vibrio coralliilyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,1,1,1,1,1,9
190893,Vibrio coralliilyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
673,Grimontia hollisae,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,1,1,1,1,0,1,1,9
29494,Vibrio furnissii,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
240495,Pseudonocardia dioxanivorans,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
240495,Pseudonocardia dioxanivorans,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,1,0,0,0,0,0,0,1,0,1,1,1,1,1,7
28127,Hoylesella buccalis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12
39669,Methanosalsum zhilinae,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13
54120,Methanolacinia petrolearia,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
53633,Sulfobacillus acidophilus,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
53633,Sulfobacillus acidophilus,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
151276,Bacteroides coprosuis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,0,1,0,1,1,1,1,1,1,1,12
1426,Parageobacillus thermoglucosidasius,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Parageobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1426,Parageobacillus thermoglucosidasius,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Parageobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
1426,Parageobacillus thermoglucosidasius,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Parageobacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,1,1,0,0,1,0,0,0,0,1,4
413888,Caldicellulosiruptor hydrothermalis,Bacteria,Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11
55205,Caldicellulosiruptor owensensis,Bacteria,Bacillota,Clostridia,Caldicellulosiruptorales,Caldicellulosiruptoraceae,Caldicellulosiruptor,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,1,1,1,1,1,1,1,1,0,0,1,1,1,11
136609,Leuconostoc kimchii,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
136609,Leuconostoc kimchii,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,OurGenes+HMMER,chromosome,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1719,Corynebacterium pseudotuberculosis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,0,1,0,1,1,1,1,1,1,8
1719,Corynebacterium pseudotuberculosis,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,0,1,0,1,1,1,1,1,1,8
863643,Thermincola potens,Bacteria,Bacillota,Clostridia,Eubacteriales,Thermincolaceae,Thermincola,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
61645,Enterobacter asburiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
61645,Enterobacter asburiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
61645,Enterobacter asburiae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,0,1,1,0,0,1,4
119394,Pseudothermotoga thermarum,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,1,0,1,0,1,1,1,1,8
59600,Cellulophaga algicola,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
29360,Cellulosilyticum lentocellum,Bacteria,Bacillota,Clostridia,Eubacteriales,Cellulosilyticaceae,Cellulosilyticum,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,1,1,0,1,1,1,0,0,1,7
29466,Veillonella parvula,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,0,1,0,0,1,1,1,0,0,1,5
29466,Veillonella parvula,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,0,1,0,0,1,1,1,0,0,1,5
179636,Alicycliphilus denitrificans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
179636,Alicycliphilus denitrificans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
179636,Alicycliphilus denitrificans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
106590,Cupriavidus necator,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
106590,Cupriavidus necator,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
580165,Bacillus cytotoxicus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13
580165,Bacillus cytotoxicus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13
77133,uncultured bacterium,Bacteria,,,,,,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,0,0,0,1,1,0,0,1,1,1,0,0,1,6
39645,Mesorhizobium ciceri,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
39645,Mesorhizobium ciceri,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
2886044,Brucella sp. JSBI001,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2886044,Brucella sp. JSBI001,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
47877,Pseudomonas amygdali,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
47877,Pseudomonas amygdali,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
47877,Pseudomonas amygdali,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4
456327,Xanthomonas euvesicatoria,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
456327,Xanthomonas euvesicatoria,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
456327,Xanthomonas euvesicatoria,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,OurGenes+HMMER,plasmid,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
62320,Haloterrigena turkmenica,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
62320,Haloterrigena turkmenica,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,1,1,1,0,1,0,1,1,1,1,8
81412,Aminomonas paucivorans,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminomonas,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,chromosome,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
2322,Methanohalobium evestigatum,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,1,1,1,1,0,0,0,1,1,1,1,1,1,1,11
55148,Deinococcus proteolyticus,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,undefined,0,0,0,0,1,0,1,0,1,1,1,1,1,1,8
55148,Deinococcus proteolyticus,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,OurProteins+HMMER; COGs+HMMER; OurGenes+HMMER,plasmid,0,0,0,0,0,0,1,0,1,1,0,0,1,1,5
